DISTRICT,DD200A001218R,DD200A001318R,DD200A001S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R
'227803,50,27,72,68,47,84,-1,-1,-1,32,13,64,20,9,51,24,8,57,32,14,66,26,9,60,-1,-1,-1,18,5,53,32,12,62,19,5,53,13,3,30,53,26,81
'227804,63,37,88,82,45,99,.,.,.,64,31,87,49,16,81,43,14,77,64,31,88,45,15,78,.,.,.,34,11,71,64,32,86,34,10,72,18,4,47,78,44,94
'227805,-1,-1,-1,.,.,.,.,.,.,37,14,68,37,13,68,33,12,66,34,11,69,-1,-1,-1,.,.,.,.,.,.,40,17,67,-1,-1,-1,-1,-1,-1,.,.,.
'227806,-1,-1,-1,.,.,.,.,.,.,36,19,56,-1,-1,-1,-1,-1,-1,42,24,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,37,79
'227814,75,42,100,72,44,91,-1,-1,-1,79,45,94,66,41,91,.,.,.,79,48,95,78,43,93,-1,-1,-1,-1,-1,-1,79,41,94,42,20,78,-1,-1,-1,85,47,96
'227816,59,37,83,72,42,89,.,.,.,48,21,75,46,18,76,40,15,71,47,20,77,39,13,70,-1,-1,-1,24,6,59,48,21,74,36,12,67,29,11,49,55,28,81
'227817,-1,-1,-1,-1,-1,-1,.,.,.,42,16,77,40,17,74,39,14,74,41,18,74,39,13,76,.,.,.,28,8,66,43,14,80,32,10,70,-1,-1,-1,83,49,96
'227819,92,50,100,-1,-1,-1,.,.,.,45,21,80,25,21,75,39,15,76,39,14,78,40,14,78,.,.,.,23,11,68,50,26,82,29,11,69,30,22,65,88,64,92
'227820,45,16,80,81,56,94,.,.,.,43,17,74,37,17,68,41,16,73,46,19,79,43,17,74,-1,-1,-1,22,6,60,39,15,70,32,11,67,17,4,36,58,28,85
'227821,33,13,69,-1,-1,-1,.,.,.,44,22,77,-1,-1,-1,36,20,61,44,25,76,30,12,63,-1,-1,-1,-1,-1,-1,44,20,77,32,13,69,-1,-1,-1,51,27,85
'227824,-1,-1,-1,.,.,.,.,.,.,30,9,65,31,10,62,31,9,66,31,9,67,29,9,66,.,.,.,16,5,54,29,9,63,19,4,57,15,11,43,42,19,52
'227825,-1,-1,-1,.,.,.,.,.,.,36,12,70,25,10,60,36,11,70,35,11,72,36,12,70,.,.,.,24,5,60,37,13,69,23,5,60,10,6,33,53,37,89
'227826,-1,-1,-1,-1,-1,-1,.,.,.,43,17,75,50,14,80,21,4,55,44,19,76,28,10,62,.,.,.,-1,-1,-1,41,16,73,-1,-1,-1,33,15,52,61,31,92
'227827,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227828,-1,-1,-1,-1,-1,-1,.,.,.,17,4,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,26,7,65,14,4,56,-1,-1,-1,-1,-1,-1
'227901,69,41,89,78,53,92,56,13,92,52,26,78,32,10,64,35,12,67,54,27,80,40,15,71,44,21,69,28,10,61,51,25,76,28,8,61,25,9,47,76,45,93
'227904,60,30,84,73,42,90,58,25,92,52,24,79,40,14,72,39,14,71,54,25,82,45,17,75,65,30,89,29,10,62,50,22,77,29,9,64,22,5,44,68,36,89
'227907,42,13,70,52,28,77,84,63,100,33,12,65,29,9,60,30,10,62,36,13,69,32,10,64,-1,-1,-1,25,9,57,31,11,61,25,7,57,24,7,38,47,21,75
'227909,86,62,98,91,70,98,-1,-1,-1,82,53,96,68,28,93,59,30,84,83,54,96,75,44,93,54,23,73,44,19,77,82,53,96,45,21,78,47,17,75,82,52,96
'227910,52,22,85,50,20,75,-1,-1,-1,31,10,63,28,8,59,30,10,62,34,11,67,30,10,62,-1,-1,-1,22,6,56,28,10,59,21,6,55,16,5,33,45,21,71
'227912,59,31,88,77,46,100,-1,-1,-1,58,28,85,-1,-1,-1,41,15,74,60,28,86,46,21,79,-1,-1,-1,23,5,68,57,27,84,25,5,66,19,6,43,62,29,87
'227913,78,51,94,89,61,98,100,88,100,74,43,92,60,27,85,45,18,76,74,44,92,59,31,84,79,41,91,30,10,64,73,42,91,41,13,74,33,15,60,76,44,94
